2017-06-24,0.778723,1.98,0.497676,0.544856,64558,-,1.24
2017-06-25,0.545430,1.20,0.488799,0.631235,58286,-,0.84
2017-06-26,0.629880,0.639520,0.463773,0.594847,65475,40074900,0.55
2017-06-27,0.584336,0.617176,0.449371,0.508901,61577,38777000,0.53
2017-06-28,0.512218,0.521563,0.379641,0.383367,64626,34039600,0.45
2017-06-29,0.383011,0.497582,0.179667,0.464983,61830,25924800,0.34
2017-06-30,0.465908,0.469838,0.188663,0.392435,60512,32726000,0.33
2017-07-01,0.392284,0.607883,0.227654,0.473546,2834790,28189200,0.42
2017-07-02,0.454877,0.534292,0.397218,0.406420,2707220,33484400,0.47
2017-07-03,0.398463,0.477800,0.373292,0.444805,1470050,30462600,0.43
2017-07-04,0.444241,0.484301,0.395137,0.425385,1343980,34168500,0.44
2017-07-05,0.425156,0.432759,0.348820,0.353397,823588,32888900,0.39
2017-07-06,0.353650,0.374326,0.322021,0.322021,627955,27523300,0.35
2017-07-07,0.319951,0.348189,0.257926,0.303115,726972,24973800,0.30
2017-07-08,0.300662,0.341148,0.285944,0.339995,344586,23500600,0.31
2017-07-09,0.335614,0.376610,0.313388,0.318618,328503,26358900,0.34
2017-07-10,0.319232,0.358438,0.191828,0.206883,846700,25072300,0.28
2017-07-11,0.213520,0.249950,0.175688,0.195599,458153,17079300,0.21
2017-07-12,0.195358,0.232602,0.167380,0.224099,408335,15626500,0.20
2017-07-13,0.224267,0.236618,0.203578,0.207700,134533,18044800,0.22
2017-07-14,0.207544,0.222387,0.159250,0.183600,285318,16699200,0.19
2017-07-15,0.186237,0.189061,0.105158,0.138587,326862,14986600,0.15
2017-07-16,0.138168,0.157647,0.111285,0.146640,142091,11118400,0.13
2017-07-17,0.146520,0.177137,0.144861,0.171606,157162,11792800,0.16
2017-07-18,0.172048,0.200565,0.158090,0.183485,170483,13847500,0.18
2017-07-19,0.183777,0.194974,0.164597,0.173101,166316,14791500,0.18
2017-07-20,0.172580,0.224360,0.165872,0.207073,231758,13890700,0.20
2017-07-21,0.204700,0.234626,0.192431,0.207706,315526,16476000,0.21
2017-07-22,0.207664,0.230839,0.191793,0.219711,494774,16862000,0.21
2017-07-23,0.219710,0.237772,0.202045,0.222625,253188,17840200,0.22
2017-07-24,0.222378,0.325271,0.207648,0.291342,1288380,18069100,0.27
2017-07-25,0.289373,0.292998,0.223645,0.228860,609887,23975900,0.26
2017-07-26,0.228647,0.245334,0.187153,0.208172,315814,18944400,0.22
2017-07-27,0.208755,0.251125,0.207994,0.224416,524307,17298300,0.23
2017-07-28,0.222944,0.228578,0.190573,0.209763,508425,18474100,0.21
2017-07-29,0.206952,0.220159,0.166795,0.198057,685118,17148900,0.19
