2017-08-27,1.06,1.19,1.03,1.08,10689000,-,1.11
2017-08-28,1.09,1.26,0.803104,0.959098,2767610,-,1.03
2017-08-29,0.933622,1.01,0.648844,0.893933,4040230,-,0.83
2017-08-30,0.888670,0.958105,0.524474,0.635370,2348320,-,0.74
2017-08-31,0.641001,0.704322,0.508927,0.611966,2638570,-,0.61
2017-09-01,0.608858,1.82,0.540748,1.55,15663800,-,1.18
2017-09-02,1.57,1.91,1.19,1.87,10974200,-,1.55
2017-09-03,1.82,3.17,1.66,2.97,30155700,45350800,2.42
2017-09-04,2.96,2.96,0.974014,1.85,16344800,73619300,1.97
2017-09-05,1.84,1.84,0.523932,1.21,16728900,45739600,1.18
2017-09-06,1.18,1.48,0.934207,1.07,8262150,29490800,1.21
2017-09-07,1.01,1.52,0.966428,1.52,8630600,25037300,1.24
2017-09-08,1.57,1.99,1.11,1.29,15172300,39078200,1.55
2017-09-09,1.30,1.63,1.18,1.63,4611730,32275400,1.40
2017-09-10,1.61,1.68,1.33,1.58,6472840,39993000,1.50
2017-09-11,1.59,2.16,1.59,2.12,13896400,39550300,1.88
2017-09-12,2.12,2.50,1.70,1.80,20894100,52889600,2.10
2017-09-13,1.82,1.98,1.63,1.94,5015140,45286900,1.80
2017-09-14,1.90,2.08,1.52,1.56,5627240,47258800,1.80
2017-09-15,1.55,1.80,1.10,1.73,4709050,38627600,1.45
2017-09-16,1.75,1.91,1.55,1.73,2172600,43453400,1.73
2017-09-17,1.73,1.76,1.52,1.70,1102610,43040200,1.64
2017-09-18,1.69,1.93,1.68,1.81,1501820,42183800,1.80
2017-09-19,1.82,2.59,1.43,1.52,2457140,45222300,2.01
2017-09-20,1.52,1.57,1.16,1.29,1736010,37881900,1.36
2017-09-21,1.27,1.40,1.17,1.26,1456350,31498300,1.28
2017-09-22,1.29,1.49,1.23,1.49,1572810,32191900,1.36
2017-09-23,1.48,1.79,1.48,1.77,2115510,36890500,1.64
2017-09-24,1.78,1.89,1.59,1.81,1746370,44390100,1.74
2017-09-25,1.80,2.25,1.78,2.20,2975160,44898100,2.02
2017-09-26,2.20,3.21,2.14,3.00,10433800,54844600,2.67
2017-09-27,2.86,4.13,2.77,3.99,19088400,71181000,3.45
2017-09-28,4.01,6.95,3.80,6.21,36777800,99811600,5.38
2017-09-29,6.22,6.48,4.41,5.53,23391200,154983000,5.45
2017-09-30,5.49,5.58,4.46,5.40,21174400,136804000,5.02
