2017-10-24,0.692158,0.726134,0.692158,0.724746,2017060,-,0.71
2017-10-25,0.716824,1.14,0.709968,0.860783,3404580,-,0.92
2017-10-26,0.816446,0.871237,0.778963,0.814167,1784580,-,0.83
2017-10-27,0.841573,0.895561,0.789190,0.894017,1523440,-,0.84
2017-10-28,0.892670,0.996267,0.815472,0.950630,3648650,-,0.91
2017-10-29,0.947845,0.994032,0.871372,0.919535,1853410,-,0.93
2017-10-30,0.917524,0.933216,0.807256,0.811372,1559350,-,0.87
2017-10-31,0.828303,0.836717,0.762870,0.812084,1546320,-,0.80
2017-11-01,0.797650,0.802883,0.634786,0.648378,1792300,-,0.72
2017-11-02,0.644748,0.682560,0.560945,0.649124,1594320,-,0.62
2017-11-03,0.653982,0.790925,0.628233,0.718425,1270970,-,0.71
2017-11-04,0.697847,0.780875,0.696314,0.745875,745641,-,0.74
2017-11-05,0.744950,0.770424,0.697926,0.701647,912388,-,0.73
2017-11-06,0.702829,0.715416,0.650030,0.660741,832052,-,0.68
2017-11-07,0.660032,0.684822,0.637738,0.675723,664839,60091400,0.66
2017-11-08,0.666174,0.762702,0.643663,0.742394,906238,60650500,0.70
2017-11-09,0.742669,0.759107,0.678203,0.708345,783159,67614800,0.72
2017-11-10,0.708949,0.746257,0.637264,0.643426,738533,64544900,0.69
2017-11-11,0.640535,0.670578,0.605406,0.617541,1181340,58316300,0.64
2017-11-12,0.617196,0.617196,0.534593,0.555259,577273,56191400,0.58
2017-11-13,0.556067,0.613144,0.544102,0.581123,469831,50626100,0.58
2017-11-14,0.581439,0.601580,0.531919,0.548587,424516,52936000,0.57
2017-11-15,0.545852,0.568452,0.505715,0.555834,902104,49696100,0.54
2017-11-16,0.560148,0.780133,0.560148,0.645261,1471310,50997600,0.67
2017-11-17,0.640038,0.670643,0.602721,0.611706,705094,58271000,0.64
2017-11-18,0.629621,0.673985,0.585989,0.654619,516701,57322600,0.63
2017-11-19,0.655342,0.676980,0.617194,0.625842,356011,59664400,0.65
2017-11-20,0.623782,0.695231,0.610144,0.658254,728223,56791000,0.65
2017-11-21,0.656753,0.661060,0.590135,0.625799,630773,59792800,0.63
2017-11-22,0.626271,0.634830,0.574463,0.590030,626906,57017600,0.60
2017-11-23,0.585081,0.611303,0.547921,0.559698,940973,53267500,0.58
