2017-07-02,0.522091,0.577690,0.439085,0.548470,211542,-,0.51
2017-07-03,0.545695,0.821585,0.460633,0.813070,377442,23331400,0.64
2017-07-04,0.818539,0.935137,0.686756,0.794665,482686,35110200,0.81
2017-07-05,0.796284,0.796284,0.643185,0.659326,211845,34480200,0.72
2017-07-06,0.658381,0.720909,0.651197,0.651197,209972,28812300,0.69
2017-07-07,0.638777,0.654483,0.501866,0.521862,367786,28096200,0.58
2017-07-08,0.522406,0.593882,0.488792,0.577366,181409,23066600,0.54
2017-07-09,0.579497,0.622970,0.500125,0.500125,186393,25668200,0.56
2017-07-10,0.497863,0.515386,0.380380,0.413388,223242,22115700,0.45
2017-07-11,0.412409,0.462682,0.325340,0.460146,177442,20205200,0.39
2017-07-12,0.459609,0.538527,0.435429,0.504454,1922000,22607500,0.49
2017-07-13,0.511640,0.523713,0.446654,0.457235,617797,25350800,0.49
2017-07-14,0.456473,0.466195,0.389188,0.396636,297376,22898200,0.43
2017-07-15,0.396033,0.398359,0.342046,0.350241,162487,19930800,0.37
2017-07-16,0.341801,0.351195,0.274610,0.293392,197808,17257800,0.31
2017-07-17,0.292913,0.384072,0.291781,0.379326,282816,14803700,0.34
2017-07-18,0.380243,0.407776,0.357398,0.392951,266076,19310000,0.38
2017-07-19,0.394495,0.410564,0.357788,0.366947,197570,24814400,0.38
2017-07-20,0.366830,0.621364,0.366495,0.501348,1125450,23114800,0.49
2017-07-21,0.504660,0.586049,0.451133,0.480306,649008,31962400,0.52
2017-07-22,0.461104,0.525728,0.456673,0.519977,397344,31115300,0.49
2017-07-23,0.521570,0.530105,0.464330,0.488238,306912,35342900,0.50
2017-07-24,0.487482,0.501711,0.470474,0.482707,242227,33333300,0.49
2017-07-25,0.478594,0.482677,0.380830,0.405329,261117,32733900,0.43
2017-07-26,0.404820,0.414708,0.377864,0.413331,169283,27697300,0.40
2017-07-27,0.414418,0.429649,0.380025,0.390638,200062,28373700,0.40
2017-07-28,0.391473,0.401744,0.365688,0.373092,174720,26817800,0.38
2017-07-29,0.374114,0.380450,0.343974,0.376049,161866,25645400,0.36
2017-07-30,0.375825,0.394261,0.360806,0.384565,168218,25981800,0.38
